category,name,subcategory
"Dynamics 365 for Operations, Enterprise Edition Device from SA for AX Task Device (qualified offer)",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition Device from SA for AX Task Device (qualified offer) for Faculty",Dynamics 365, 
"Dynamics 365 for Operations, Enterprise Edition Device from SA for AX Task Device (qualified offer) for Students",Dynamics 365, 
"Dynamics 365 for Project Service Automation, Enterprise Edition",Dynamics 365, 
"Dynamics 365 for Project Service Automation, Enterprise Edition for CRMOL Basic + Project Service Add-On (Qualified Offer)",Dynamics 365, 
"Dynamics 365 for Project Service Automation, Enterprise Edition for CRMOL Basic + Project Service Add-On (Qualified Offer) for Faculty",Dynamics 365, 
"Dynamics 365 for Project Service Automation, Enterprise Edition for CRMOL Basic + Project Service Add-On (Qualified Offer) for Students",Dynamics 365, 
"Dynamics 365 for Project Service Automation, Enterprise Edition for Faculty",Dynamics 365, 
"Dynamics 365 for Project Service Automation, Enterprise Edition for Students",Dynamics 365, 
"Dynamics 365 for Retail, Enterprise Edition",Dynamics 365, 
"Dynamics 365 for Retail, Enterprise Edition for Faculty",Dynamics 365, 
"Dynamics 365 for Retail, Enterprise Edition for Student",Dynamics 365, 
"Dynamics 365 for Sales and Customer Service, Enterprise Editions (SMB Offer)",Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition,Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition (SMB Offer),Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition Add-On for CRM Basic (Qualified Offer),Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition Add-On for CRM Basic (Qualified Offer) for Faculty,Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition Add-On for CRM Basic (Qualified Offer) for Students,Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition CRMOL Basic (Qualified Offer),Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition CRMOL Basic (Qualified Offer) for Faculty,Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition CRMOL Basic (Qualified Offer) for Students,Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition CRMOL Professional (Qualified Offer),Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition CRMOL Professional (Qualified Offer) for Faculty,Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition CRMOL Professional (Qualified Offer) for Students,Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition Device,Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition Device for Faculty,Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition for Faculty,Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition for Students,Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition From SA for CRM Basic (Qualified Offer),Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition From SA for CRM Basic (Qualified Offer) for Faculty,Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition From SA for CRM Basic (Qualified Offer) for Students,Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition Qualified Offer for CRMOL Pro Add-On to O365 Users,Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition Qualified Offer for CRMOL Pro Add-On to O365 Users for Faculty,Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition Qualified Offer for CRMOL Pro Add-On to O365 Users for Students,Dynamics 365, 
Dynamics 365 for Sales Enterprise Edition Device for Students,Dynamics 365, 
"Dynamics 365 for Sales, Enterprise Edition - From SA From Sales (On-Premises) Device CAL",Dynamics 365, 
"Dynamics 365 for Sales, Enterprise Edition - From SA From Sales (On-Premises) Device CAL for Faculty",Dynamics 365, 
"Dynamics 365 for Sales, Enterprise Edition - From SA From Sales (On-Premises) Device CAL for Students",Dynamics 365, 
"Dynamics 365 for Sales, Enterprise Edition - From SA From Sales (On-Premises) User CAL",Dynamics 365, 
"Dynamics 365 for Sales, Enterprise Edition - From SA From Sales (On-Premises) User CAL for Faculty",Dynamics 365, 
"Dynamics 365 for Sales, Enterprise Edition - From SA From Sales (On-Premises) User CAL for Students",Dynamics 365, 
"Dynamics 365 for Talent, Enterprise Edition",Dynamics 365, 
"Dynamics 365 for Talent, Enterprise Edition for Faculty",Dynamics 365, 
"Dynamics 365 for Talent, Enterprise Edition for Student",Dynamics 365, 
Dynamics 365 for Team Members Enterprise Edition,Dynamics 365, 
