,brand,model,partner_price,retail_price,category
414,Cisco,CPS-HDD1TI2F212=,438.0,730.0,Storage
415,Cisco,CPS-HDD2TI2F213,719.4,1199.0,Storage
416,Cisco,CPS-HDD2TI2F213=,719.4,1199.0,Storage
417,Cisco,CPS-HDD3TI2F214=,988.8,1648.0,Storage
418,Cisco,CPS-SS-4RU-BLANK=,450.0,750.0,Network
419,Cisco,CPS-SS-4RU,51000.0,85000.0,Network
421,Cisco,ACE30-MOD-K9-RF,14398.2,23997.0,Network
430,Cisco,ACE-AP-SSL-05K-K9,3000.0,5000.0,DELETE
431,Cisco,ACE-AP-02-LIC,,39995.0,DELETE
432,Cisco,ACE-4710-04-K9-RF,17998.2,29997.0,Network
433,Cisco,ACE-4710-02-K9-RF,14398.2,23997.0,DELETE
434,Cisco,ACE-4710-01-K9-RF,10798.2,17997.0,Network
435,Cisco,ACE-04G-LIC,,39995.0,DELETE
436,Cisco,ACC-WPNL-KIT=,33.8,65.0,DELETE
437,Cisco,ACC-RPS2300=,150.0,250.0,DELETE
438,Cisco,ACC-KIT-T1=,30.0,50.0,DELETE
439,Cisco,ACC-IR910-W-M=,16.2,27.0,Network
440,Cisco,ACC-IR910-S16,188.4,314.0,Storage
441,Cisco,ACC-IR910-H-M=,142.8,238.0,Network
442,Cisco,ACC-E340-PWR=,30.0,50.0,Power
443,Cisco,ACC-E340-PWR,30.0,50.0,Power
444,Cisco,ACC-E340-M-V=,36.0,60.0,Network
445,Cisco,ACC-E340-M-E=,72.0,120.0,Network
446,Cisco,ACC-E340-M-D=,84.0,140.0,Network
447,Cisco,ACC-E340-IRE=,4.2,7.0,Network
449,Cisco,ACS-4330-FANASSY=,300.0,500.0,DELETE
450,Cisco,ACS-4320-RM-19=,69.0,115.0,DELETE
451,Cisco,ACS-4320-FANASSY=,300.0,500.0,DELETE
452,Cisco,ACS-4320-BEZEL=,138.0,230.0,DELETE
453,Cisco,ACS-3900-RM-23=,138.0,230.0,DELETE
454,Cisco,ACS-3900-RM-19=,69.0,115.0,DELETE
